Date,News
1400/06/20,رشد ۲۱۸هزار واحدی شاخص بورس در ۱۰۸روز معاملاتی
1400/06/20,رشد ۵ هزار واحدی شاخص بورس در هفته ای که گذشت
1400/06/20,یادداشت اقتصادی|پوست خربزه خصوصی‌سازی، زیر پای وزیر ورزش
1400/06/20,یک شرکت برقی به جمع فرابورسی‌ها پیوست
1400/06/20,فهرست زمین و ساختمان ۱۰ شرکت مطابق مصوبه سازمان بورس منتشر شد
1400/06/20,ارسال اطلاعات کارکنان کارگزاری‌ها برای واکسن کرونا
1400/06/20,آغاز بازارگردانی ۶ شرکت از امروز در فرابورس
1400/06/20,مشارکت ۲.۶ میلیونی در دهمین عرضه‌ اولیه امسال
1400/06/17,۲۰ میلیون نفر جامانده سهام عدالت هستند/ عزم دولت کلید سهام‌دار شدن جامانده هاست
1400/06/16,راه‌اندازی سررسید جدید در قرارداد آتی واحدهای صندوق طلا از هفته آینده
1400/06/16,راه‌اندازی قرارداد آتی نقره برای تحویل آذر ماه ۱۴۰۰، دوشنبه آینده
1400/06/16,اسامی سهام بورس با بالاترین و پایین‌ترین رشد قیمت امروز ۱۴۰۰/۰۶/۱۶
1400/06/16,درج ۲ نماد در سامانه پس از معاملات
1400/06/16,شاخص بورس ۱۵ هزار واحد افت کرد
1400/06/16,"""آقای حاشیه""، باز هم روی موج حاشیه"
1400/06/16,وجود دست‌انداز بر سر راه بازگشت هفت تپه به دولت
1400/06/16,کاهش آسیب‌پذیری صنعت فولاد از نگاه مرکز پژوهش‌های مجلس
1400/06/16,بازارگردانی دو شرکت فرابورسی تمدید شد
1400/06/16,آغاز معاملات قراردادهای اختیار معامله فملی‌ در بورس
1400/06/15,تغییر زمانبندی معامله ETFها و اوراق بدهی در بورس از شنبه آینده +جزئیات
1400/06/15,ناشران بورسی به افشای فهرست زمین و ساختمان ملزم شدند
1400/06/15,اسامی سهام بورس با بالاترین و پایین‌ترین رشد قیمت امروز ۱۴۰۰/۰۶/۱۵
1400/06/15,هزار میلیارد تومان اوراق گام یک بانک بورسی سررسید شد
1400/06/15,آغاز معاملات قراردادهای اختیار معامله شرکت‌ در بورس
1400/06/15,تداوم نوسان شاخص بورس در ارتفاع ۱.۵ میلیون واحد
1400/06/15,یک شرکت به جمع فرابورسی‌ها پیوست
1400/06/15,جزئیات یازدهمین عرضه اولیه امسال اعلام شد
1400/06/15,فرآیند تحویل قراردادهای اختیار معامله سکه طلا در بورس کالا اعلام شد
1400/06/15,دهمین عرضه‌ اولیه امسال مشخص شد
1400/06/15,بازارگردانی یک شرکت بورسی امروز تمام می‌شود
1400/06/15,خاندوزی: وزارت اقتصاد نباید صرفاً مالیات‌سِتان باشد/ تسهیل ورود شرکت‌ها به بورس
1400/06/14,رشد ۲۱۲هزار واحدی شاخص بورس در ۱۰۳ روز معاملاتی
1400/06/14,کاهش ۲۹هزار واحدی شاخص بورس در هفته گذشته
1400/06/14,اسامی سهام بورس با بالاترین و پایین‌ترین رشد قیمت امروز ۱۴۰۰/۰۶/۱۴
1400/06/14,قیمت سیمان با عرضه‌های گسترده در بورس کالا کاهش پیدا کرد
1400/06/14,اصلاح ۳هزارواحدی شاخص بورس در ارتفاع ۱.۵میلیون واحد
1400/06/14,راه اندازی قرارداد آتی زعفران نگین با سررسید دی ۱۴۰۰، از چهارشنبه
1400/06/14,موافقت رئیس جمهور با اختصاص سهام عدالت به جاماندگان
1400/06/14,جرئیات الزامی شدن ثبت نام سهامداران در سامانه سجام
1400/06/14,خبرخوش رئیس کمیسیون اقتصادی مجلس درباره جاماندگان سهام عدالت
1400/06/14,نامه کانون کارگزاران به وزیر بهداشت برای واکسیناسیون عوامل بورس
1400/06/14,معاملات قراردادهای اختیار معامله دو نماد بورس از پس‌فردا آغاز می‌شود
1400/06/14,سهامداران عدالت منتظر ۱۰ درصد باقیمانده سود باشند
1400/06/14,رشد بیشتر بازار سرمایه نسبت به سود بانکی و تورم/ افراد ناآشنا به طور غیرمستقیم در بورس سرمایه گذاری کنند
1400/06/13,اسامی سهام بورس با بالاترین و پایین‌ترین رشد قیمت امروز ۱۴۰۰/۰۶/۱۳
1400/06/13,شاخص بورس به نیمه ارتفاع ۱.۵ میلیون واحد نزدیک شد
1400/06/13,سیمانی‌های بورس کالا ۵۸ تایی شدند
1400/06/13,بازار داغ معاملات زعفران، نقره و صندوق طلا در بازار آتی بورس کالا
1400/06/13,معاملات قراردادهای اختیار معامله فولاد مبارکه در بورس آغاز شد
1400/06/13,معامله ۲.۲ تن محصول در بازار فیزیکی بورس کالا
1400/06/13,سجامی شدن سهامداران حقیقی الزامی شد +زمانبندی ثبت نام
1400/06/13,ارتقای ۱۹ شرکت بازار پایه‌ای در فرابورس
1400/06/13,بازارگردانی دو شرکت بورسی آغاز شد
1400/06/10,حمایت مسئولان و فعالان صنعت از عرضه کل سیمان کشور در بورس کالا
1400/06/10,اسامی سهام بورس با بالاترین و پایین‌ترین رشد قیمت امروز ۱۴۰۰/۰۶/۱۰
1400/06/10,بازگشت دوباره شاخص بورس به ارتفاع ۱.۵ میلیون واحد
1400/06/10,عرضه‌های اولیه دولت ملزم به بازارگردانی شدند
1400/06/10,میزگرد تسنیم| جای رئیس سازمان بورس در دولت خالی است/ امیدواری به افزایش اثرگذاری بازار سرمایه با اجرای برنامه‌های خاندوزی
1400/06/09,پذیرش سهام ۵ شرکت طی ۵ ماه گذشته در بورس تهران
1400/06/09,نماد یک شرکت دارویی در بازار دوم فرابورس درج شد
1400/06/09,نماد یک شرکت ارتباطاتی در بورس درج شد
1400/06/09,خرید و فروش سیمان خارج از بورس کالا ممنوع شد
1400/06/09,بیش از ۳۹ هزار حلقه تایر خودرو در بورس کالا معامله شد
1400/06/09,روایت معاون بازار شرکت بورس از روند بازگشت «شبندر» به معاملات
1400/06/09,بازارگردانی دو شرکت بورسی تمدید شد
1400/06/08,"هپکو"" فرزند ناخواسته خصوصی‌سازی/ شستا هپکو را نخواست"
1400/06/08,اسامی سهام بورس با بالاترین و پایین‌ترین رشد قیمت امروز ۱۴۰۰/۰۶/۰۸
1400/06/08,"ثبت بزرگترین افتِ ۱۴۰۰ شاخص بورس با چاشنی ""هیجان"" و بازگشایی ""شبندر"""
1400/06/08,تخفیف کارمزد معاملات توسط کارگزاریها صرفاً به حساب سبدها و صندوق‌ها واریز شود
1400/06/08,بازارگردانی یک شرکت در بورس آغاز شد
1400/06/07,نماد یک اوراق اجاره در سامانه پس از معاملات درج شد
1400/06/07,اسامی سهام بورس با بالاترین و پایین‌ترین رشد قیمت امروز ۱۴۰۰/۰۶/۰۷
1400/06/07,افت معاملات اوراق تسهیلات مسکن فرابورس در ۵ماه گذشته
1400/06/07,رکورد معاملات بورس در سال ۱۴۰۰ شکسته شد
1400/06/07,"بازارگردانی ""بکام"" در بورس تمدید شد"
1400/06/06,سهم بالای معاملات طلا از معاملات مردادِ بورس کالا
1400/06/06,اختصاص ۵۶ درصد ارزش معاملات آتی بورس کالا به نقره و صندوق طلا
1400/06/06,اسامی سهام بورس با بالاترین و پایین‌ترین رشد قیمت امروز ۱۴۰۰/۰۶/۰۶
1400/06/06,شاخص بورس از نیمه ارتفاع ۱.۵ میلیون واحد گذر کرد
1400/06/06,احراز هویت ۹۹ هزار سهامدار در مرداد امسال
1400/06/06,قیمت سیمان در عراق چهار برابر ایران است/تاثیر اندک سیمان در قیمت مسکن
1400/06/06,رشد ۵۰هزار واحدی شاخص بورس در هفته گذشته
1400/06/06,رشد ۲۴۲ هزار واحدی شاخص بورس در ۹۸ روز معاملاتی
1400/06/06,بررسی آینده بازار سهام در دولت سیزدهم| دو راهی دولت در تعیین سرنوشت اقتصاد/ چاپ پول یا اوراق، دو مسیر برای جبران کسری بودجه
1400/06/06,عرضه ۱.۳ میلیون تن سیمان در بورس کالا، امروز و فردا
1400/06/06,آغاز بازارگردانی یک شرکت بیمه‌ای در بورس
1400/06/06,تصویب افزایش ۵ درصد شناوری «بورس»، «کالا» و «انرژی۳»
1400/06/05,فروش خُرد سهام عدالت تکذیب شد/ سازمان بورس: فروش سهام عدالت بلوکی خواهد بود
1400/06/03,آخرین وضعیت پروژه کوهسار/ ۲۸۸ واحد مسکونی در زمینی به مساحت ۷۰۰۰ متر مربع در غرب تهران ساخته می شود
1400/06/03,اسامی سهام بورس با بالاترین و پایین‌ترین رشد قیمت امروز ۱۴۰۰/۰۶/۰۳
1400/06/03,افزایش ۱۴ درصدی ارزش بورس در مرداد
1400/06/03,"مسیر تصمیم‌گیری بهتر برای""هفت تپه"" در دولت جدید هموار است"
1400/06/03,شاخص بورس در نیمه ارتفاع ۱.۵ میلیون واحد آرام گرفت
1400/06/03,خلع ید خریدار هفت تپه ابلاغ رسمی شد/ خصوصی‌سازی: هفت تپه به ایدرو برمی‌گردد
1400/06/03,سررسید شدن اوراق دولتی، یکی از چالش‌های پیش‌روی وزیر اقتصاد جدید
1400/06/03,یک شرکت پتروشیمی مهمان فرابورسی‌ها شد
1400/06/03,آغاز بازارگردانی یک شرکت فرابورسی از هفته آینده
1400/06/02,مزایای عرضه سیمان در بورس کالا؛ از شفافیت معاملات تا فروکش‌کردن قیمت‌ها در خرده فروشی‌ها
1400/06/02,اسامی سهام بورس با بالاترین و پایین‌ترین رشد قیمت امروز ۱۴۰۰/۰۶/۰۲
1400/06/02,شاخص بورس به نیمه ارتفاع ۱.۵ میلیون واحد نزدیک شد
1400/06/02,حجم مبنای بازار پایه‌ای‌های فرابورس از امروز نیم درصد شد
1400/06/02,آغاز بازارگردانی ۳ شرکت فرابورسی از فردا
1400/06/01,اطلاعیه مهم در خصوص فروش سهام عدالت
1400/06/01,تعلیق نماد ۱۰ شرکت سرمایه‌گذاری استانی سهام عدالت در بورس
1400/06/01,اسامی سهام بورس با بالاترین و پایین‌ترین رشد قیمت امروز ۱۴۰۰/۰۶/۰۱
1400/06/01,استراحت شاخص بورس در ارتفاع ۱.۵ میلیون واحد
1400/06/01,معاملات قراردادهای اختیار معامله ۲ شرکت در بورس آغاز شد
1400/06/01,دلایل رشد این روزهای بازار سرمایه چیست؟
1400/06/01,خلع ید خریدار هفت تپه؛ مجلس تایید کرد، خصوصی‌سازی انکار
1400/06/01,ارتقای یک شرکت بیمه‌ای از فرابوس به بورس
1400/05/31,عرضه سیمان در بورس کالا باعث شفافیت شده/کد بورسی ۳ روزه ارائه شود
1400/05/31,معامله بیش از یک میلیون تن محصول در بورس کالا
1400/05/31,اسامی سهام بورس با بالاترین و پایین‌ترین رشد قیمت امروز ۱۴۰۰/۰۵/۳۱
1400/05/31,رکورد حجم و ارزش معاملات بورس در سال ۱۴۰۰ شکست
1400/05/31,چطور درخواست فروش سهام عدالت را لغو کنیم
1400/05/31,درخواست رییس سازمان بورس از وزیر بهداشت برای واکسیناسیون بورسی‌ها
1400/05/31,رای قطعی خلع ید خریدار هفت تپه به دولت ابلاغ شد
1400/05/31,آغاز بازارگردانی دو شرکت بورسی از فردا
1400/05/31,راه‌اندازی معاملات آتی واحدهای صندوق طلا با سررسید آبان، از سه‌شنبه
1400/05/31,مهمترین چالش در معاملات کالایی دخالت قیمت‌گذاری و حساسیت قیمت‌ها است
1400/05/31,زمان معاملات صندوق‌های سرمایه گذاری قابل معامله و اوراق بدهی تغییر می‌کند
1400/05/30,راه اندازی صندوق زمین و مسکن در بورس از نیمه دوم ۱۴۰۰
1400/05/26,پرداخت حق دلالی توسط فولاد مبارکه برای خرید سنگ آهن ارزان
1400/05/26,انتقاد رئیس سازمان بورس از قیمت‌گذاری دستوری خودرو/ دهقان: خودروسازان به مراجع قانونی شکایت کنند
1400/05/25,تغییر حجم مبنا در معاملات بازار پایه فرابورس
1400/05/24,اسامی سهام بورس با بالاترین و پایین‌ترین رشد قیمت امروز ۱۴۰۰/۰۵/۲۴
1400/05/24,شاخص بورس بر ارتفاع ۱.۵۰۰.۰۰۰ واحد ایستاد
1400/05/24,یک حمل و نقلی به فرابورسی‌ها پیوست
1400/05/24,رشد ۱۷۶ هزار واحدی شاخص بورس در ۹۲ روز معاملاتی
1400/05/24,رشد ۷۸ هزار واحدی شاخص بورس در هفته ای که گذشت
1400/05/24,نماد یک شرکت سیمانی در بورس درج شد
1400/05/24,تغییر روزهای عرضه محصولات فولادی در بورس کالا
1400/05/24,آغاز بازارگردانی یک شرکت در بورس
1400/05/24,تعیین تکلیف مالکیت هفت تپه، تا دو هفته دیگر
1400/05/23,برنامه خاندوزی برای تصدی وزارت اقتصاد منتشر شد/ ۸ راهبرد اصلاحی خاندوزی برای بورس
1400/05/23,بورس از ۲۵ تا ۳۰ مرداد تعطیل شد
1400/05/23,پورابراهیمی: شاهد دوگانگی در سیاست های وزارت صمت هستیم
1400/05/23,گزینه پیشنهادی وزارت اقتصاد: ارتقای جایگاه بازار سرمایه یک الزام است
1400/05/23,یک شرکت پخش دارو به جمع فرابورسی‌ها اضافه شد
1400/05/23,درج نماد ۲ اوراق مرابحه دولت در سامانه پس از معاملات
1400/05/23,اسامی سهام بورس با بالاترین و پایین‌ترین رشد قیمت امروز ۱۴۰۰/۰۵/۲۳
1400/05/23,رشد نماگرهای بازار گواهی سپرده کالایی بورس کالا در هفته‌ای که گذشت
1400/05/23,اصلاح ۳ هزار واحدی شاخص بورس در کنار افزایش حجم و ارزش معاملات
1400/05/23,قیمت بنزین معمولی در بورس کالای روسیه رکورد زد
1400/05/23,وعده جدید برای واگذاری سرخابی‌های پایتخت/ فرابورس: در قبال بورسی شدن استقلال و پرسپولیس کوتاهی نکردیم
1400/05/23,یک شرکت شیمیایی در سامانه پس از معاملات درج شد
1400/05/23,آغاز و پایان بازارگردانی ۴ شرکت بورسی و فرابورسی
1400/05/20,یک شرکت در گروه محصولات غذایی فرابورس درج شد
1400/05/20,کشقف قیمت ۵۰۲۳ ریالی نهمین عرضه اولیه سال ۱۴۰۰
1400/05/20,اسامی سهام بورس با بالاترین و پایین‌ترین رشد قیمت امروز ۱۴۰۰/۰۵/۲۰
1400/05/20,پرش ۳۰ هزار واحدی شاخص بورس در آخرین روز هفته
1400/05/20,نامه رئیس کمیسیون اصل ۹۰ مجلس به رئیس سازمان بورس/ تقدیر از اقدامات بورس در راستای شفافیت بیشتر و معرفی دارندگان اطلاعات نهانی
1400/05/20,بازارگردانی دو نماد بازار پایه فرابورسی به دو سال افزایش یافت
1400/05/20,صدور مجوز بازارگردانی در اختیار بورس و فرابورس قرار گرفت
1400/05/19,تقویت بورس کالا در دستور کار دولت و مجلس قرار دارد + فیلم
1400/05/19,یک شرکت به جمع فرابورسی‌ها پیوست
1400/05/19,اسامی سهام بورس با بالاترین و پایین‌ترین رشد قیمت امروز ۱۴۰۰/۰۵/۱۹
1400/05/19,عرضه فولاد و سیمان در بازاری غیر از بورس فسادآور است
1400/05/19,شاخص بورس به نیمه ارتفاع ۱.۴ میلیون واحد سید
1400/05/19,ارتقای یک نماد فرابورسی از تابلوی نارنجی به زرد در بازار پایه
1400/05/19,تخلفات بورسی را گزارش دهید، پاداش بگیرید
1400/05/19,بازارگردانی دو شرکت فرابورسی از فردا آغاز می‌شود
1400/05/18,اسامی سهام بورس با بالاترین و پایین‌ترین رشد قیمت امروز ۱۴۰۰/۰۵/۱۸
1400/05/18,امکان صدور و ابطال یونیت صندوق های سرمایه گذاری به صورت برخط فراهم شد
1400/05/18,دستورالعمل سرمایه‌گذاری آنلاین در صندوق‌های سرمایه‌گذاری ابلاغ شد
1400/05/18,شاخص بورس ۱۵ هزار واحد رشد کرد
1400/05/18,شورای رقابت فروش پسماند از طریق بورس کالا را تصویب کرد
1400/05/18,عرضه‌های اولیه امسال ۹ تایی می‌شود
1400/05/18,درج نماد یک شرکت سرمایه‌گذاری در سامانه پس از معاملات
1400/05/18,هفت‌تپه به نورچشمی دولت آقای روحانی واگذار شد/ از ابطال معامله خبری نیست
1400/05/17,اسامی سهام بورس با بالاترین و پایین‌ترین رشد قیمت امروز ۱۴۰۰/۰۵/۱۷
1400/05/17,شاخص بورس ۱۰ هزار واحد رشد کرد
1400/05/17,پاسخ بیمه مرکزی به نامه رئیس سازمان بورس/ نامه بورس دیرهنگام و با تاخیر چندساله بود
1400/05/17,بازارگردانی یک صندوق فرابورسی از فردا آغاز می‌شود
1400/05/16,برخی انبوه سازان به دنبال ادامه برخورداری از رانت سیمانی/ سهم سیمان در ساخت مسکن چه میزان است؟
1400/05/16,اسامی سهام بورس با بالاترین و پایین‌ترین رشد قیمت امروز ۱۴۰۰/۰۵/۱۶
1400/05/16,شاخص بورس به رشد هزار واحدی قناعت کرد
1400/05/16,دادوستد ۵۵۵میلیارد سهم در بورس طی ۸۷ روز معاملاتی
1400/05/16,رشد ۸۹هزار واحدی شاخص بورس در هفته گذشته
1400/05/15,موافقت بانک مرکزی با عرضه املاک بانک‌ها در بورس کالا
1400/05/15,تورم ۱۵ درصدی در کوتاه مدت شدنی نیست/ سوءاستفاده مدیران بورسی از اطلاعاتِ پنهان
1400/05/13,عقب ماندگی تاریخی کشاورزی در ایجاد صندوق های ضمانت سرمایه گذاری
1400/05/13,صعود شاخص بورس به ارتفاع ۱.۴ میلیون واحد
1400/05/13,اسامی سهام بورس با بالاترین و پایین‌ترین رشد قیمت امروز ۱۴۰۰/۰۵/۱۳
1400/05/13,یک شرکت ریلی به جمع فرابورسی‌ها پیوست
1400/05/13,یک شرکت سرمایه‌گذاری به جمع بازار پایه‌ای‌های فرابورس پیوست
1400/05/12,بازارگردانی یک شرکت فرابورسی از فردا آغاز می‌شود
1400/05/12,پذیرش ٩ سیمانی‌ دیگر در بورس کالا/ جمع سیمانی‌ها به ٥٤ شرکت رسید
1400/05/11,وزارتخانه‌ها ضعف خود را گردن بورس کالا می‌اندازند
1400/05/11,اسامی سهام بورس با بالاترین و پایین‌ترین رشد قیمت امروز ۱۴۰۰/۰۵/۱۱
1400/05/11,شاخص بورس ۲ هزار واحد اصلاح کرد
1400/05/11,در نخستین ماه تابستان امسال ۸۹ هزار نفر سجامی شدند
1400/05/11,لزوم ابلاغ حکم خلع ید مالکان هفت تپه، در اسرع وقت به سازمان خصوصی‌سازی
1400/05/11,یک شرکت فلزی دیگر به جمع فرابورسی‌ها پیوست
1400/05/10,یک شرکت فلزی به جمع فرابورسی‌ها پیوست
1400/05/10,اسامی سهام بورس با بالاترین و پایین‌ترین رشد قیمت امروز ۱۴۰۰/۰۵/۱۰
1400/05/10,شاخص بورس ۸ هزار واحد رشد کرد
1400/05/10,اتخاذ سیاست های نادرست، دلیل ولنگاری بازار سیمان/ تاکنون ۱۴۰۰ نفر از بورس کالا سیمان خریده اند
1400/05/10,پیشنهاد جدید وزیر صمت برای عوارض صادراتی ۱۶ محصول معدنی و فولادی
1400/05/10,آزمون شفافیت بخشی بورس به سایر بازارها
1400/05/09,اسامی سهام بورس با بالاترین و پایین‌ترین رشد قیمت امروز ۱۴۰۰/۰۵/۰۹
1400/05/09,درخواست بورس از شورای رقابت برای معرفی افراد دخیل در قیمت‌گذاری خودرو
1400/05/09,شاخص بورس ۳۴ هزار واحد رشد کرد
1400/05/09,فرآیند تحویل نخستین قرارداد آتی واحدهای صندوق طلا اعلام شد
1400/05/09,دادوستد ۵۱۷ میلیارد سهمی بورس در ۸۲ روز معاملاتی
1400/05/09,رشد ۵ هزار واحدی شاخص بورس در هفته ای که گذشت
1400/05/09,فرآیند تحویل قرارداد آتی نقره سررسید مرداد اعلام شد
1400/05/09,۲۷ شرکت سیمانی عرضه‌کننده در بورس کالا در اولویت وصل برق قرار گرفتند
1400/05/09,بازارگردانی ۲ نماد فرابورسی از فردا آغاز می‌شود
1400/05/09,دارایی‌ کم‌ریسک خود را به طمع سود بیشتر به دارایی پرریسک تبدیل نکنید
1400/05/06,اسامی سهام بورس با بالاترین و پایین‌ترین رشد قیمت امروز ۱۴۰۰/۰۵/۰۶
1400/05/06,هشتمین عرضه اولیه امسال در فرابورس کشف قیمت شد
1400/05/06,شاخص بورس به رشد هزار واحدی بسنده کرد
1400/05/06,بورس کالا امروز میزبان ۷۳۷ هزار تن سیمان ۳۶ شرکت است
1400/05/06,ثبت اطلاعات خریداران سیمان در سامانه جامع انبارها الزامی شد
1400/05/06,آغاز و تمدید بازارگردانی ۲ نماد بورسی و فرابورسی
1400/05/06,درج یک صندوق با درآمد ثابت در بورس تهران
1400/05/05,اسامی سهام بورس با بالاترین و پایین‌ترین رشد قیمت امروز ۱۴۰۰/۰۵/۰۵
1400/05/05,شاخص بورس ۸ هزار واحد افت کرد
1400/05/05,تصمیم جدید بورس کالا برای سیمان
1400/05/05,آغاز و تمدید بازارگردانی ۳ نماد بورسی
1400/05/05,مخالفت وزیر راه و شهرسازی با ورود مصالح ساختمانی به بورس
1400/05/04,اسامی سهام بورس با بالاترین و پایین‌ترین رشد قیمت امروز ۱۴۰۰/۰۵/۰۴
1400/05/04,انعقاد ۲۸۵ هزار قرارداد آتی در بورس کالا در نخستین ماه تابستان
1400/05/04,رشد ۱۲ هزار واحدی شاخص پس از تعطیلی ۶ روزه بورس
1400/05/04,معامله ۴۰۲ هزار تنی بورس کالا در هفته پایانی تیرماه
1400/05/04,افت معاملات اوراق تسهیلات مسکن فرابورس در ۴ ماه گذشته
1400/05/04,رشد ۵ هزار واحدی شاخص بورس در هفته ای که گذشت
1400/05/04,یک شرکت فعال در حوزه مس به جمع بازار پایه‌ای‌های فرابورس پیوست
1400/05/04,رشد ۳ هزار واحدی شاخص بورس در ۴ ماه گذشته
1400/05/04,بازارگردانی یک نماد بورسی از فردا آغاز می‌شود
1400/05/04,تشکیل کمیته‌ای برای عرضه ۱۰۰ درصدی سیمان در بورس
1400/05/04,زمان جدید هشتمین عرضه اولیه امسال مشخص شد
1400/05/03,پور ابراهیمی: انتصاب رئیس سازمان بورس در چارچوب قانون انجام نشده است
1400/05/02,حذف رانت ۷ هزار میلیارد تومانی دلالان دلیل هجمه ها به بورسی شدن سیمان
1400/05/02,فملی ۲۸ تومان سود تقسیم کرد
1400/04/29,مجامع شرکت‌های بورسی در ایام تعطیلات ۶ روزه برگزار می‌شود
1400/04/28,اسامی سهام بورس با بالاترین و پایین‌ترین رشد قیمت امروز ۱۴۰۰/۰۴/۲۸
1400/04/28,شاخص بورس ۸ هزار واحد رشد کرد
1400/04/28,درج نماد یک صندوق سرمایه گذاری در سامانه پس از معاملات
1400/04/28,توقف معاملات بورس در روزهای تعطیل
1400/04/28,تعطیلی چندروزه بورس اگر بانک‌ها تعطیل شوند
1400/04/28,تصویب رد دیون ۱۳۰ هزار میلیارد تومانی به تأمین اجتماعی در روزهای پایانی دولت
1400/04/28,یک شرکت معدنی به جمع معدنی‌ها اضافه شد
1400/04/28,٦ راهکار بورس کالا برای تسهیل تامین مالی تولید
1400/04/28,امکان حضور سهامداران عدالت در مجامع شرکتها فراهم شد
1400/04/28,بازارگردانی یک نماد بورسی امروز تمام می‌شود
1400/04/27,پیگیری مدیرعامل بورس کالا از وزارت صمت برای تامین برق فولاد و سیمان
1400/04/27,"کارگزاری دلیران پارس پیشنهاد کرد؛ صندوق ETF ""سود سهام عدالت"" راه اندازی شود"
1400/04/27,بروکراسی اداری ویرایش اطلاعات حقوقی‌ها در سجام کم شد
1400/04/27,یک شرکت بیمه‌ای از فرابورس به بورس رفت
1400/04/27,دستورالعمل صدور مجوز عرضه اولیه شرکت سهامی عام پروژه ابلاغ شد
1400/04/27,اسامی سهام بورس با بالاترین و پایین‌ترین رشد قیمت امروز ۱۴۰۰/۰۴/۲۷
1400/04/27,اصلاح ۸ هزار واحدی شاخص بورس در ارتفاع ۱.۳ میلیون واحد
1400/04/27,کارشناس بورس: بازار سرمایه به تعادل رسیده است
1400/04/27,عرضه اوراق اختیار فروش تبعی سهام یک شرکت بورسی از امروز
1400/04/27,"پلاک هشتمین عرضه اولیه امسال به نام ""وهامون"" شد"
1400/04/27,آغاز بازارگردانی ۳ نماد معاملاتی در فرابورس از فردا
1400/04/26,نیت طرح ایجاد چند بورس کالایى در کشور مشخص نیست!/ در دنیا بورس ها در حال ادغام اند
1400/04/26,دادوستد ۴۷۷ میلیارد سهمی بورس در ۷۶ روز معاملاتی
1400/04/26,رشد ۲۳ هزار واحدی شاخص بورس در هفته ای که گذشت
1400/04/26,اسامی سهام بورس با بالاترین و پایین‌ترین رشد قیمت امروز ۱۴۰۰/۰۴/۲۶
1400/04/26,شاخص بورس ۵ هزار واحد رشد کرد
1400/04/23,آغاز و تمدید بازارگردانی ۳ نماد معاملاتی در بورس و فرابورس
1400/04/23,جزئیات تأمین مالی ۳۴۸هزار میلیارد تومانی از بازار سرمایه/ غیردولتی‌ها ۳۷هزار میلیارد تومان اوراق فروختند+ جدول
1400/04/22,درج نماد یک شرکت سرمایه‌گذاری در سامانه پس از معاملات
1400/04/22,اسامی سهام بورس با بالاترین و پایین‌ترین رشد قیمت امروز ۱۴۰۰/۰۴/۲۲
1400/04/22,اجرای اصل ۴۴، پاشنه آشیل اقتصاد/ اهلیت سنجی بازدارنده بحران‌ها در واگذاریها است
1400/04/22,بازارگردانی یک شرکت در بورس آغاز شد
1400/04/22,استراحت شاخص بورس در ارتفاع ۱.۳ میلیون واحد
1400/04/22,رشد بازار سرمایه به بهبود معیشت مردم کمک می‌کند
1400/04/22,ارتقای یک نماد لی لی پوتی از تابلوی نارنجی به زرد فرابورس
1400/04/22,تامین مالی دانش بنیانها از سرمایه‌های خرد در فرابورس
1400/04/22,نامه فوری و مهم رئیس سازمان بورس به وزیر نفت: اطلاعات پالایشی‌ها را اعلام کنید
1400/04/21,اعلام زمان جدید پایان ثبت سفارش محصولات پتروشیمی در ۳ تالار بورس کالا
1400/04/21,اسامی سهام بورس با بالاترین و پایین‌ترین رشد قیمت امروز ۱۴۰۰/۰۴/۲۱
1400/04/21,بازگشت شاخص بورس به ارتفاع ۱.۳ میلیون واحد
1400/04/21,آیا توزیع سود سهام عدالت میان سهامداران سیاست درستی است؟
1400/04/21,درخواست فولادسازان از وزیر صنعت برای پایان دادن به تعطیلی برقی صنعت فولاد
1400/04/21,عرضه اولیه‌های امسال ۷ تایی می‌شود
1400/04/20,ارتقای یک نماد معاملاتی از لیگ دسته دو بازار سهام به لیگ دسته یک
1400/04/20,اسامی سهام بورس با بالاترین و پایین‌ترین رشد قیمت امروز ۱۴۰۰/۰۴/۲۰
1400/04/20,شاخص بورس ۱۴ هزار واحد رشد کرد
1400/04/20,رکوردهای تاریخی بورس کالا در سال ۹۹
1400/04/20,ارتقای جایگاه بورس کالا در اقتصاد
1400/04/20,کاهش شاخص بورس در سالجاری به ۲۵ هزار واحد رسید
1400/04/20,بازارگردانی یک شرکت سرمایه‌گذاری از فردا در فرابورس آغاز می‌شود
1400/04/20,رشد ۲۵ هزار واحدی شاخص بورس در هفته گذشته
1400/04/19,خبر خوش برای بورسی‌ها؛ نرخ سود بین‌بانکی وارد کانال ۱۷درصدی شد
1400/04/19,اعلام مشکلات نیروگاه‌های برقی حاضر در بازار سهام به وزیر نیرو + راه‌حل
1400/04/19,تبعید شرکت ورشکسته فرابورسی از تابلوی نارنجی به تابلوی قرمز بازار پایه
1400/04/19,بازارگردانی یک شرکت سرمایه‌گذاری در بورس آغاز شد
1400/04/16,اسامی سهام بورس با بالاترین و پایین‌ترین رشد قیمت امروز ۱۴۰۰/۰۴/۱۶
1400/04/16,شاخص بورس به رشد ۸۳۵ واحدی بسنده کرد
1400/04/16,معامله ۱۳۶ هزار میلیارد ریالی بازار فیزیکی بورس انرژی در بهار امسال
1400/04/16,پایان بازارگردانی ۳ نماد معاملاتی در فرابورس
1400/04/14,یک شرکت سرمایه‌گذاری به جمع فرابورسی‌ها پیوست
1400/04/14,اسامی سهام بورس با بالاترین و پایین‌ترین رشد قیمت امروز ۱۴۰۰/۰۴/۱۴
